organism,agent_class,agent,disk_content_ug,zone_S_ge_mm,zone_R_lt_mm,zone_ATU,mic_S_le,mic_R_gt,pdf_page
Viridans group streptococci,,Colistin,,-,-,,-,-,61
Viridans group streptococci,,Daptomycin,,IE,IE,,IE,IE,61
Viridans group streptococci,,Fosfomycin iv,,-,-,,-,-,61
Viridans group streptococci,,Fosfomycin oral,,-,-,,-,-,61
Viridans group streptococci,,Fusidic acid,,-,-,,-,-,61
Viridans group streptococci,,Lefamulin,,IE,IE,,IE,IE,61
Viridans group streptococci,,Metronidazole,,-,-,,-,-,61
Viridans group streptococci,,Nitrofurantoin (uncomplicated UTI only),,-,-,,-,-,61
Viridans group streptococci,,Nitroxoline (uncomplicated UTI only),,-,-,,-,-,61
Viridans group streptococci,,Rifampicin,,Note,Note,,Note1,Note1,61
Viridans group streptococci,,Spectinomycin,,-,-,,-,-,61
Viridans group streptococci,,Trimethoprim (uncomplicated UTI only),,-,-,,-,-,61
Viridans group streptococci,,Trimethoprim-sulfamethoxazole,,-,-,,-,-,61
Haemophilus influenzae,,Benzylpenicillin,,IE,IE,,IE,IE,62
Haemophilus influenzae,,Benzylpenicillin (screen only)1,1 unit,12,12,,NA,NA,62
Haemophilus influenzae,,Ampicillin (indications other than,2,18,18,,1,1,62
Haemophilus influenzae,meningitis)2,Ampicillin iv (meningitis)2,,Note,Note,2.,Note3,Note3,62
Haemophilus influenzae,meningitis)2,Ampicillin-sulbactam,,Note,Note,,"14,5",14.5,62
Haemophilus influenzae,meningitis)2,Amoxicillin iv (indications other than meningitis)2,,Note,Note,,2,2,62
Haemophilus influenzae,meningitis)2,Amoxicillin iv (meningitis)2,,Note,Note,4.,Note3,Note3,62
Haemophilus influenzae,meningitis)2,Amoxicillin oral2,,Note,Note,,0.001,2,62
Haemophilus influenzae,meningitis)2,Amoxicillin-clavulanic acid iv,2-1,15,15,,26,26,62
Haemophilus influenzae,meningitis)2,Amoxicillin-clavulanic acid oral,2-1,50,15,,0.0016,26,62
Haemophilus influenzae,meningitis)2,Piperacillin2,,IE,IE,,IE,IE,62
Haemophilus influenzae,meningitis)2,Piperacillin-tazobactam,30-6,27,27,"26-28B,G",0.257,0.257,62
Haemophilus influenzae,meningitis)2,Ticarcillin-clavulanic acid,,IE,IE,E.,IE,IE,62
Haemophilus influenzae,meningitis)2,Temocillin,,IE,IE,F.,IE,IE,62
Haemophilus influenzae,meningitis)2,Phenoxymethylpenicillin,,IE,IE,,IE,IE,62
Haemophilus influenzae,meningitis)2,Oxacillin,,-,-,G.,-,-,62
Haemophilus influenzae,meningitis)2,Cloxacillin,,-,-,,-,-,62
Haemophilus influenzae,meningitis)2,Dicloxacillin,,-,-,,-,-,62
Haemophilus influenzae,meningitis)2,Flucloxacillin,,-,-,,-,-,62
Haemophilus influenzae,meningitis)2,Mecillinam oral (pivmecillinam) (uncomplicated UTI only),,-,-,,-,-,62
Haemophilus influenzae,,Cefaclor,,-,-,,-,-,63
Haemophilus influenzae,,Cefadroxil,,-,-,,-,-,63
Haemophilus influenzae,,Cefalexin,,-,-,,-,-,63
Haemophilus influenzae,,Cefazolin,,-,-,,-,-,63
Haemophilus influenzae,,Cefepime,30,28,28,"28-33B,C",0.25,0.25,63
Haemophilus influenzae,,Cefepime-enmetazobactam2,,Note,Note,,Note2,Note2,63
Haemophilus influenzae,,Cefiderocol,,IE,IE,3.,IE,IE,63
Haemophilus influenzae,,Cefixime,5,26,26,,0.125,0.125,63
Haemophilus influenzae,,Cefotaxime,5,27,27,"25-27B,C",0.125,0.125,63
Haemophilus influenzae,,Cefoxitin,,IE,IE,B.,IE,IE,63
Haemophilus influenzae,,Cefpodoxime,10,26,26,"26-29B,C",0.25,0.25,63
Haemophilus influenzae,,Ceftaroline,,Note,Note,,0.03,0.03,63
Haemophilus influenzae,,Ceftazidime,,-,-,,-,-,63
Haemophilus influenzae,,Ceftazidime-avibactam,,-,-,,-,-,63
Haemophilus influenzae,,Ceftibuten,30,25,25,,1,1,63
Haemophilus influenzae,,Ceftobiprole,,IE,IE,,IE,IE,63
Haemophilus influenzae,,Ceftolozane-tazobactam (pneumonia)3,30-10,23,23,"22-23B,C",0.5,0.5,63
Haemophilus influenzae,,Ceftriaxone,30,32,32,"31-33B,C",0.125,0.125,63
Haemophilus influenzae,,Cefuroxime iv,30,27,25,"25-27B,C",1,2,63
Haemophilus influenzae,,Cefuroxime oral,30,50,27,"25-27B,C",0.001,1,63
Haemophilus influenzae,,Doripenem,10,23,23,,1,1,64
Haemophilus influenzae,,Ertapenem,10,23,23,,0.5,0.5,64
Haemophilus influenzae,,Imipenem,10,20,20,"6-19B,C",2,2,64
Haemophilus influenzae,,Imipenem-relebactam3,,Note,Note,,Note3,Note3,64
Haemophilus influenzae,,Meropenem (indications other than,10,20,20,,2,2,64
Haemophilus influenzae,meningitis),Meropenem (meningitis),,Note,Note,,0.25,0.25,64
Haemophilus influenzae,meningitis),Meropenem-vaborbactam3,,Note,Note,B.,Note3,Note3,64
Haemophilus influenzae,meningitis),Aztreonam,,IE,IE,,IE,IE,64
Haemophilus influenzae,meningitis),Aztreonam-avibactam,,IE,IE,,IE,IE,64
Haemophilus influenzae,meningitis),Ciprofloxacin,5,32,32,A.,0.03,0.03,64
Haemophilus influenzae,meningitis),Delafloxacin,,IE,IE,B.,IE,IE,64
Haemophilus influenzae,meningitis),Levofloxacin,5,30,30,,0.06,0.06,64
Haemophilus influenzae,meningitis),Moxifloxacin,5,28,28,,0.125,0.125,64
Haemophilus influenzae,meningitis),Nalidixic acid (screen only),30,23,23,,NA,NA,64
Haemophilus influenzae,meningitis),Norfloxacin (uncomplicated UTI only),,-,-,,-,-,64
Haemophilus influenzae,meningitis),Ofloxacin,5,30,30,,0.06,0.06,64
Haemophilus influenzae,meningitis),Amikacin,,IE,IE,,IE,IE,64
Haemophilus influenzae,meningitis),Gentamicin,,IE,IE,,IE,IE,64
Haemophilus influenzae,meningitis),Netilmicin,,IE,IE,,IE,IE,64
Haemophilus influenzae,meningitis),Tobramycin,,IE,IE,,IE,IE,64
Haemophilus influenzae,,Dalbavancin,,-,-,,-,-,65
Haemophilus influenzae,,Oritavancin,,-,-,,-,-,65
Haemophilus influenzae,,Teicoplanin,,-,-,,-,-,65
Haemophilus influenzae,,Telavancin,,-,-,,-,-,65
Haemophilus influenzae,,Vancomycin,,-,-,,-,-,65
Haemophilus influenzae,,Azithromycin,,Note,Note,,Note1,Note1,65
Haemophilus influenzae,,Clarithromycin,,Note,Note,,Note1,Note1,65
Haemophilus influenzae,,Erythromycin,,Note,Note,,Note1,Note1,65
Haemophilus influenzae,,Roxithromycin,,Note,Note,,Note1,Note1,65
Haemophilus influenzae,,Clindamycin,,-,-,,-,-,65
Haemophilus influenzae,,Quinupristin-dalfopristin,,-,-,,-,-,65
Haemophilus influenzae,,Doxycycline,,Note,Note,,11,11,65
Haemophilus influenzae,,Eravacycline,,IE,IE,,IE,IE,65
Haemophilus influenzae,,Minocycline,30,24,24,,11,11,65
Haemophilus influenzae,,Tetracycline,30,25,25,,21,21,65
Haemophilus influenzae,,Tigecycline,,IE,IE,,IE,IE,65
Haemophilus influenzae,,Linezolid,,-,-,,-,-,65
Haemophilus influenzae,,Tedizolid,,-,-,,-,-,65
Haemophilus influenzae,Chloramphenicol1,Colistin,,-,-,2.,-,-,66
Haemophilus influenzae,Chloramphenicol1,Daptomycin,,-,-,,-,-,66
Haemophilus influenzae,Chloramphenicol1,Fosfomycin iv,,IE,IE,,IE,IE,66
Haemophilus influenzae,Chloramphenicol1,Fosfomycin oral,,-,-,,-,-,66
Haemophilus influenzae,Chloramphenicol1,Fusidic acid,,-,-,,-,-,66
Haemophilus influenzae,Chloramphenicol1,Lefamulin,,IE,IE,,IE,IE,66
Haemophilus influenzae,Chloramphenicol1,Metronidazole,,-,-,,-,-,66
Haemophilus influenzae,Chloramphenicol1,Nitrofurantoin (uncomplicated UTI only),,-,-,,-,-,66
Haemophilus influenzae,Chloramphenicol1,Nitroxoline (uncomplicated UTI only),,-,-,,-,-,66
Haemophilus influenzae,Chloramphenicol1,Rifampicin (for prophylaxis only),5,18,18,,1,1,66
Haemophilus influenzae,Chloramphenicol1,Spectinomycin,,-,-,,-,-,66
Haemophilus influenzae,Chloramphenicol1,Trimethoprim (uncomplicated UTI only),,-,-,,-,-,66
Haemophilus influenzae,Chloramphenicol1,Trimethoprim-sulfamethoxazole2,1.25-23.75,23,23,,0.5,0.5,66
Moraxella catarrhalis,,Benzylpenicillin,,-,-,1.,-,-,68
Moraxella catarrhalis,,Ampicillin,,-,-,,-1,-1,68
Moraxella catarrhalis,,Ampicillin-sulbactam,,Note,Note,,"12,3","12,3",68
Moraxella catarrhalis,,Amoxicillin,,-,-,,-1,-1,68
Moraxella catarrhalis,,Amoxicillin-clavulanic acid,2-1,19,19,,14,14,68
Moraxella catarrhalis,,Piperacillin,,-,-,,-1,-1,68
Moraxella catarrhalis,,Piperacillin-tazobactam,,Note,Note,,Note3,Note3,68
Moraxella catarrhalis,,Ticarcillin-clavulanic acid,,IE,IE,,IE,IE,68
Moraxella catarrhalis,,Temocillin,,IE,IE,,IE,IE,68
Moraxella catarrhalis,,Phenoxymethylpenicillin,,-,-,,-,-,68
Moraxella catarrhalis,,Oxacillin,,-,-,,-,-,68
Moraxella catarrhalis,,Cloxacillin,,-,-,,-,-,68
Moraxella catarrhalis,,Dicloxacillin,,-,-,,-,-,68
Moraxella catarrhalis,,Flucloxacillin,,-,-,,-,-,68
Moraxella catarrhalis,,Mecillinam oral (pivmecillinam) (uncomplicated UTI only),,-,-,,-,-,68
Moraxella catarrhalis,,Cefaclor,,-,-,,-,-,69
Moraxella catarrhalis,,Cefadroxil,,-,-,,-,-,69
Moraxella catarrhalis,,Cefalexin,,-,-,,-,-,69
Moraxella catarrhalis,,Cefazolin,,-,-,,-,-,69
Moraxella catarrhalis,,Cefepime,30,20,20,,4,4,69
Moraxella catarrhalis,,Cefepime-enmetazobactam1,,Note,Note,,Note1,Note1,69
Moraxella catarrhalis,,Cefiderocol,,IE,IE,,IE,IE,69
Moraxella catarrhalis,,Cefixime,5,21,21,,0.5,0.5,69
Moraxella catarrhalis,,Cefotaxime,5,20,17,,1,2,69
Moraxella catarrhalis,,Cefoxitin,,IE,IE,,IE,IE,69
Moraxella catarrhalis,,Ceftaroline,,IE,IE,,IE,IE,69
Moraxella catarrhalis,,Ceftazidime,,-,-,,-,-,69
Moraxella catarrhalis,,Ceftazidime-avibactam,,-,-,,-,-,69
Moraxella catarrhalis,,Ceftibuten,,IE,IE,,IE,IE,69
Moraxella catarrhalis,,Ceftobiprole,,IE,IE,,IE,IE,69
Moraxella catarrhalis,,Ceftolozane-tazobactam,,IE,IE,,IE,IE,69
Moraxella catarrhalis,,Ceftriaxone,30,24,21,,1,2,69
Moraxella catarrhalis,,Cefuroxime iv,30,21,18,,4,8,69
Moraxella catarrhalis,,Cefuroxime oral,30,50,21,,0.001,4,69
Moraxella catarrhalis,,Doripenem1,10,30,30,1.,1,1,69
Moraxella catarrhalis,,Ertapenem1,10,29,29,,0.5,0.5,69
Moraxella catarrhalis,,Imipenem1,10,29,29,,2,2,69
Moraxella catarrhalis,,Imipenem-relebactam2,,Note,Note,,Note2,Note2,69
Moraxella catarrhalis,,Meropenem1,10,33,33,,2,2,69
Moraxella catarrhalis,,Meropenem-vaborbactam2,,Note,Note,,Note2,Note2,69
Moraxella catarrhalis,,Aztreonam,,IE,IE,,IE,IE,69
Moraxella catarrhalis,,Aztreonam-avibactam,,IE,IE,,IE,IE,69
Moraxella catarrhalis,,Ciprofloxacin,5,31,31,A.,0.125,0.125,70
Moraxella catarrhalis,,Delafloxacin,,IE,IE,B.,IE,IE,70
Moraxella catarrhalis,,Levofloxacin,5,29,29,,0.125,0.125,70
Moraxella catarrhalis,,Moxifloxacin,5,26,26,,0.25,0.25,70
Moraxella catarrhalis,,Nalidixic acid (screen only),30,23,23,,NA,NA,70
Moraxella catarrhalis,,Norfloxacin (uncomplicated UTI only),,-,-,,-,-,70
Moraxella catarrhalis,,Ofloxacin,5,28,28,,0.25,0.25,70
Moraxella catarrhalis,,Amikacin,,IE,IE,,IE,IE,70
Moraxella catarrhalis,,Gentamicin,,IE,IE,,IE,IE,70
Moraxella catarrhalis,,Netilmicin,,IE,IE,,IE,IE,70
Moraxella catarrhalis,,Tobramycin,,IE,IE,,IE,IE,70
Moraxella catarrhalis,,Dalbavancin,,-,-,,-,-,70
Moraxella catarrhalis,,Oritavancin,,-,-,,-,-,70
Moraxella catarrhalis,,Teicoplanin,,-,-,,-,-,70
Moraxella catarrhalis,,Telavancin,,-,-,,-,-,70
Moraxella catarrhalis,,Vancomycin,,-,-,,-,-,70
Moraxella catarrhalis,,Azithromycin,,Note,Note,,0.251,0.251,70
Moraxella catarrhalis,,Clarithromycin,,Note,Note,,0.251,0.251,70
Moraxella catarrhalis,,Erythromycin,15,23,23,,0.25,0.25,70
Moraxella catarrhalis,,Roxithromycin,,Note,Note,,0.51,0.51,70
Moraxella catarrhalis,,Clindamycin,,-,-,,-,-,70
Moraxella catarrhalis,,Quinupristin-dalfopristin,,-,-,,-,-,70
Moraxella catarrhalis,,Doxycycline,,Note,Note,,11,11,71
Moraxella catarrhalis,,Eravacycline,,IE,IE,,IE,IE,71
Moraxella catarrhalis,,Minocycline,30,25,25,,11,11,71
Moraxella catarrhalis,,Tetracycline,30,26,26,,21,21,71
Moraxella catarrhalis,,Tigecycline,,IE,IE,,IE,IE,71
Moraxella catarrhalis,,Linezolid,,-,-,,-,-,71
Moraxella catarrhalis,,Tedizolid,,-,-,,-,-,71
Moraxella catarrhalis,,Chloramphenicol,,Note,Note,,Note1,Note1,71
Moraxella catarrhalis,,Colistin,,-,-,2.,-,-,71
Moraxella catarrhalis,,Daptomycin,,-,-,,-,-,71
Moraxella catarrhalis,,Fosfomycin iv,,IE,IE,,IE,IE,71
Moraxella catarrhalis,,Fosfomycin oral,,-,-,,-,-,71
Moraxella catarrhalis,,Fusidic acid,,-,-,,-,-,71
Moraxella catarrhalis,,Lefamulin,,IE,IE,,IE,IE,71
Moraxella catarrhalis,,Metronidazole,,-,-,,-,-,71
Moraxella catarrhalis,,Nitrofurantoin (uncomplicated UTI only),,-,-,,-,-,71
Moraxella catarrhalis,,Nitroxoline (uncomplicated UTI only),,-,-,,-,-,71
Moraxella catarrhalis,,Rifampicin,,-,-,,-,-,71
Moraxella catarrhalis,,Spectinomycin,,-,-,,-,-,71
Moraxella catarrhalis,,Trimethoprim (uncomplicated UTI only),,-,-,,-,-,71
Moraxella catarrhalis,,Trimethoprim-sulfamethoxazole2,1.25-23.75,15,15,,1,1,71
Anaerobic bacteria,Bacteroides spp.,Ampicillin-sulbactam,10-10,25,25,1.,21,21,80
Anaerobic bacteria,Bacteroides spp.,Amoxicillin-clavulanic acid,2-1,14,14,2.,22,22,80
Anaerobic bacteria,Bacteroides spp.,Piperacillin-tazobactam3,30-6,24,24,3.,24,24,80
Anaerobic bacteria,Bacteroides spp.,Ertapenem,10,23,23,,(2)5,(2)5,80
Anaerobic bacteria,Bacteroides spp.,Imipenem,10,29,29,,1,1,80
Anaerobic bacteria,Bacteroides spp.,Meropenem,10,28,28,,1,1,80
Anaerobic bacteria,Bacteroides spp.,Clindamycin,2,10,10,,(4)5,(4)5,80
Anaerobic bacteria,Bacteroides spp.,Metronidazole,5,25,25,,4,4,80
Anaerobic bacteria,,Benzylpenicillin,1 unit,20,20,,0.51,0.51,81
Anaerobic bacteria,,Ampicillin,2,25,25,,0.51,0.51,81
Anaerobic bacteria,,Ampicillin-sulbactam,10-10,33,33,to,"Note1,2","Note1,2",81
Anaerobic bacteria,,Amoxicillin,,Note,Note,,0.251,0.251,81
Anaerobic bacteria,,Amoxicillin-clavulanic acid,2-1,24,24,,"Note1,2","Note1,2",81
Anaerobic bacteria,,Piperacillin-tazobactam,30-6,26,26,,"Note1,2","Note1,2",81
Anaerobic bacteria,,Ertapenem,10,29,29,,0.51,0.51,81
Anaerobic bacteria,,Imipenem,10,35,35,,0.1251,0.1251,81
Anaerobic bacteria,,Meropenem,10,34,34,,0.251,0.251,81
Anaerobic bacteria,,Clindamycin,2,31,31,,0.25,0.25,81
Anaerobic bacteria,,Metronidazole Fusobacterium necrophorum,5,22,22,,4,4,81
Anaerobic bacteria,,Benzylpenicillin,1 unit,25,25,,0.1251,0.1251,81
Anaerobic bacteria,,Ampicillin,2,27,27,,0.51,0.51,81
Anaerobic bacteria,,Ampicillin-sulbactam,10-10,33,33,,"0.51,2","0.51,2",81
Anaerobic bacteria,,Amoxicillin,,Note,Note,,0.51,0.51,81
Anaerobic bacteria,,Amoxicillin-clavulanic acid,2-1,23,23,4.,"0.51,3","0.51,3",81
Anaerobic bacteria,,Piperacillin-tazobactam,30-6,32,32,,"0.51,4","0.51,4",81
Anaerobic bacteria,,Ertapenem,10,35,35,B.,0.061,0.061,81
Anaerobic bacteria,,Imipenem,10,36,36,C.,0.1251,0.1251,81
Anaerobic bacteria,,Meropenem,10,35,35,,0.031,0.031,81
Anaerobic bacteria,,Clindamycin,2,30,30,,0.25,0.25,81
Anaerobic bacteria,,Metronidazole,5,30,30,,0.5,0.5,81
Anaerobic bacteria,,Benzylpenicillin,1 unit,15,15,,0.51,0.51,82
Anaerobic bacteria,,Ampicillin,2,23,23,,0.251,0.251,82
Anaerobic bacteria,,Ampicillin-sulbactam,10-10,27,27,,"0.251,2","0.251,2",82
Anaerobic bacteria,,Amoxicillin,,Note,Note,,0.251,0.251,82
Anaerobic bacteria,,Amoxicillin-clavulanic acid,2-1,23,23,4.,"0.251,3","0.251,3",82
Anaerobic bacteria,,Piperacillin-tazobactam,30-6,24,24,,"0.51,4","0.51,4",82
Anaerobic bacteria,,Ertapenem,10,24,24,B.,0.51,0.51,82
Anaerobic bacteria,,Imipenem,10,25,25,,0.51,0.51,82
Anaerobic bacteria,,Meropenem,10,25,25,,0.1251,0.1251,82
Anaerobic bacteria,,Vancomycin,5,12,12,,2,2,82
Anaerobic bacteria,,Clindamycin,2,19,19,,0.25,0.25,82
Anaerobic bacteria,,Metronidazole Cutibacterium acnes,5,16,16,,4,4,82
Anaerobic bacteria,,Benzylpenicillin,1 unit,24,24,,0.061,0.061,82
Anaerobic bacteria,,Ampicillin,2,23,23,,0.251,0.251,82
Anaerobic bacteria,,Ampicillin-sulbactam,10-10,33,33,,"Note1,2","Note1,2",82
Anaerobic bacteria,,Amoxicillin,,Note,Note,,0.251,0.251,82
Anaerobic bacteria,,Amoxicillin-clavulanic acid,2-1,24,24,,"Note1,2","Note1,2",82
Anaerobic bacteria,,Piperacillin-tazobactam,30-6,27,27,,"Note1,2","Note1,2",82
Anaerobic bacteria,,Cefotaxime,5,26,26,,NA,NA,82
Anaerobic bacteria,,Ceftriaxone,30,33,33,,0.061,0.061,82
Anaerobic bacteria,,Ertapenem,10,28,28,,0.251,0.251,82
Anaerobic bacteria,,Imipenem,10,39,39,D.,0.031,0.031,82
Anaerobic bacteria,,Meropenem,10,28,28,,0.1251,0.1251,82
Anaerobic bacteria,,Vancomycin,5,22,22,,2,2,82
Anaerobic bacteria,,Clindamycin,2,26,26,,0.25,0.25,82
Anaerobic bacteria,,Linezolid,10,34,34,,2,2,82
Listeria monocytogenes,,Benzylpenicillin (indications other than meningitis),1 unit,13,13,,1,1,85
Listeria monocytogenes,,Benzylpenicillin (meningitis),,IE,IE,,IE,IE,85
Listeria monocytogenes,,Ampicillin iv (all indications),2,16,16,,1,1,85
Listeria monocytogenes,,Meropenem (all indications),10,26,26,,0.25,0.25,85
Listeria monocytogenes,,Moxifloxacin (meningitis),,IE,IE,,IE,IE,85
Listeria monocytogenes,,Linezolid (meningitis),,IE,IE,,IE,IE,85
Listeria monocytogenes,meningitis),Trimethoprim-sulfamethoxazole (all indications)1,1.25-23.75,29,29,1.,0.06,0.06,86
Pasteurella spp.,,Benzylpenicillin,1 unit,17,17,1.,0.5,0.5,87
Pasteurella spp.,,Ampicillin,,Note,Note,,1,1,87
Pasteurella spp.,,Amoxicillin,,Note,Note,A.,1,1,87
Pasteurella spp.,,Amoxicillin-clavulanic acid,2-1,15,15,,11,11,87
Pasteurella spp.,,Cefotaxime,5,26,26,,0.03,0.03,87
Pasteurella spp.,,Ciprofloxacin,5,27,27,A.,0.06,0.06,87
Pasteurella spp.,,Levofloxacin,5,27,27,B.,0.06,0.06,87
Pasteurella spp.,,Nalidixic acid (screen only),30,23,23,,NA,NA,87
Pasteurella spp.,,Tetracycline (screen only),30,24,24,,NA,NA,88
Pasteurella spp.,,Trimethoprim-sulfamethoxazole1,1.25-23.75,23,23,1.,0.25,0.25,88
Campylobacter jejuni and C. coli,,Ciprofloxacin,5,50,26,,0.001,0.5,89
Campylobacter jejuni and C. coli,,Azithromycin,,Note,Note,,Note1,Note1,89
Campylobacter jejuni and C. coli,,Clarithromycin,,Note,Note,,Note1,Note1,89
Campylobacter jejuni and C. coli,,"Erythromycin, C. jejuni",15,20,20,,41,41,89
Campylobacter jejuni and C. coli,,"Erythromycin, C. coli",15,18,18,,81,81,89
Campylobacter jejuni and C. coli,,Doxycycline,,Note,Note,,Note1,Note1,89
Campylobacter jejuni and C. coli,,Tetracycline,30,30,30,,21,21,89
Corynebacterium spp.,EUCAST QC Tables.,Benzylpenicillin,1 unit,50,12,,0.001,1,90
Corynebacterium spp.,EUCAST QC Tables.,Ciprofloxacin,5,50,25,,0.001,1,90
Corynebacterium spp.,EUCAST QC Tables.,Moxifloxacin,5,25,25,,0.5,0.5,90
Corynebacterium spp.,EUCAST QC Tables.,Gentamicin,,IE,IE,,IE,IE,90
Corynebacterium spp.,EUCAST QC Tables.,Vancomycin,5,17,17,A.,2,2,90
Corynebacterium spp.,,Clindamycin1,2,20,20,1.,0.5,0.5,91
Corynebacterium spp.,,Tetracycline,30,24,24,,2,2,91
Corynebacterium spp.,,Linezolid,10,25,25,,2,2,91
Corynebacterium spp.,,Rifampicin,5,30,30,,0.06,0.06,91
Corynebacterium diphtheriae and C. ulcerans,EUCAST QC Tables.,Benzylpenicillin,1 unit,50,12,,0.001,1,92
Corynebacterium diphtheriae and C. ulcerans,EUCAST QC Tables.,Amoxicillin,,Note,Note,,11,11,92
Corynebacterium diphtheriae and C. ulcerans,EUCAST QC Tables.,Cefotaxime,5,50,15,,0.0011,21,92
Corynebacterium diphtheriae and C. ulcerans,EUCAST QC Tables.,Meropenem,10,24,24,,0.251,0.251,92
Corynebacterium diphtheriae and C. ulcerans,EUCAST QC Tables.,Ciprofloxacin,5,50,24,,0.001,0.5,92
Corynebacterium diphtheriae and C. ulcerans,,Erythromycin,15,24,24,1.,0.06,0.06,93
Corynebacterium diphtheriae and C. ulcerans,,"Clindamycin, C. diphtheriae 1",2,15,15,,0.5,0.5,93
Corynebacterium diphtheriae and C. ulcerans,,Doxycycline,,Note,Note,,0.51,0.51,93
Corynebacterium diphtheriae and C. ulcerans,,Tetracycline,30,24,24,,1,1,93
Corynebacterium diphtheriae and C. ulcerans,,Linezolid,10,25,25,,2,2,93
Corynebacterium diphtheriae and C. ulcerans,,Rifampicin,5,24,24,1.,0.06,0.06,93
Corynebacterium diphtheriae and C. ulcerans,,Trimethoprim-sulfamethoxazole1,1.25-23.75,23,23,,0.5,0.5,93
Aerococcus sanguinicola and A. urinae,EUCAST QC Tables.,Benzylpenicillin,1 unit,21,21,,0.125,0.125,94
Aerococcus sanguinicola and A. urinae,EUCAST QC Tables.,Ampicillin,2,26,26,,0.25,0.25,94
Aerococcus sanguinicola and A. urinae,EUCAST QC Tables.,Amoxicillin,,Note,Note,,Note1,Note1,94
Aerococcus sanguinicola and A. urinae,EUCAST QC Tables.,Meropenem,10,31,31,,0.25,0.25,94
Aerococcus sanguinicola and A. urinae,EUCAST QC Tables.,Ciprofloxacin (uncomplicated UTI only),5,21,21,1.,2,2,94
Aerococcus sanguinicola and A. urinae,EUCAST QC Tables.,Levofloxacin (uncomplicated UTI only),,Note,Note,,21,21,94
Aerococcus sanguinicola and A. urinae,EUCAST QC Tables.,Norfloxacin (screen only),10,17,17,A.,NA,NA,94
Aerococcus sanguinicola and A. urinae,,Vancomycin,5,16,16,A.,1,1,95
Aerococcus sanguinicola and A. urinae,,Nitrofurantoin (uncomplicated UTI only),100,16,16,,16,16,95
Aerococcus sanguinicola and A. urinae,,Rifampicin,5,25,25,,0.125,0.125,95
Kingella kingae,QC Tables.,Benzylpenicillin,1 unit,25,25,1.,0.03,0.03,96
Kingella kingae,QC Tables.,Ampicillin,,Note,Note,,0.062,0.062,96
Kingella kingae,QC Tables.,Amoxicillin,,Note,Note,,0.1252,0.1252,96
Kingella kingae,QC Tables.,Amoxicillin-clavulanic acid,2-1,22,22,,Note3,Note3,96
Kingella kingae,QC Tables.,Cefotaxime,5,27,27,,0.125,0.125,96
Kingella kingae,QC Tables.,Ceftriaxone,30,30,30,,0.06,0.06,96
Kingella kingae,QC Tables.,Cefuroxime iv,30,29,29,,0.5,0.5,96
Kingella kingae,QC Tables.,Meropenem,10,30,30,,0.03,0.03,96
Kingella kingae,QC Tables.,Ciprofloxacin,5,28,28,,0.06,0.06,96
Kingella kingae,QC Tables.,Levofloxacin,5,28,28,,0.125,0.125,96
Kingella kingae,,Clarithromycin,,Note,Note,,0.51,0.51,97
Kingella kingae,,Erythromycin,15,20,20,A.,0.5,0.5,97
Kingella kingae,,Clindamycin,,-,-,,-,-,97
Kingella kingae,,Doxycycline,,Note,Note,,0.51,0.51,97
Kingella kingae,,Tetracycline,30,28,28,,0.5,0.5,97
Kingella kingae,,Rifampicin,5,20,20,1.,0.5,0.5,97
Kingella kingae,,Trimethoprim-sulfamethoxazole1,1.25-23.75,28,28,,0.25,0.25,97
Aeromonas spp.,EUCAST QC Tables.,Cefepime,30,27,24,,1,4,98
Aeromonas spp.,EUCAST QC Tables.,Ceftazidime,10,24,21,,1,4,98
Aeromonas spp.,EUCAST QC Tables.,Aztreonam,30,29,26,,1,4,98
Aeromonas spp.,EUCAST QC Tables.,Ciprofloxacin,5,27,24,,0.25,0.5,98
Aeromonas spp.,EUCAST QC Tables.,Levofloxacin,5,27,24,,0.5,1,98
Achromobacter xylosoxidans,,Piperacillin-tazobactam,30-6,26,26,1.,41,41,100
Achromobacter xylosoxidans,,Cefiderocol1,30,Note,Note,1.,Note2,Note2,100
Achromobacter xylosoxidans,,Meropenem,10,26,20,,1,4,100
Vibrio spp.,,Piperacillin-tazobactam,30-6,26,26,1.,11,11,102
Vibrio spp.,,Cefotaxime,5,21,21,,0.25,0.25,102
Vibrio spp.,,"Cefotaxime, V. fluvialis",,IE,IE,,IE,IE,102
Vibrio spp.,,Ceftazidime,10,22,22,,1,1,102
Vibrio spp.,,Meropenem,10,24,24,,0.5,0.5,102
Vibrio spp.,,Ciprofloxacin,5,23,23,A.,0.25,0.25,102
Vibrio spp.,,Levofloxacin,5,23,23,,0.25,0.25,102
Vibrio spp.,,Pefloxacin (screen only),5,22,22,,NA,NA,102
Vibrio spp.,,Erythromycin (screen only)1,15,12,12,,NA,NA,103
Vibrio spp.,,Doxycycline,,Note,Note,,0.5,0.5,103
Vibrio spp.,,Tetracycline (screen only)1,30,20,20,,NA,NA,103
Vibrio spp.,,Trimethoprim-sulfamethoxazole1,1.25-23.75,21,21,1.,0.25,0.25,103
Bacillus spp.,QC Tables.,Imipenem,10,30,30,,0.5,0.5,104
Bacillus spp.,QC Tables.,Meropenem,10,25,25,,0.25,0.25,104
Bacillus spp.,QC Tables.,Ciprofloxacin,5,50,23,A.,0.001,0.5,104
Bacillus spp.,QC Tables.,Levofloxacin,5,50,23,B.,0.001,1,104
