organism,agent,disk,s,r,n,CA,VME,ME,mE,CA_pct,VME_pct,ME_pct
Enterobacterales,Ampicillin iv1,10,14.0,14.0,91,80,4,7,0,87.91208791208791,4.395604395604396,7.6923076923076925
Enterobacterales,Ampicillin oral (uncomplicated UTI only)1,10,14.0,14.0,91,80,4,7,0,87.91208791208791,4.395604395604396,7.6923076923076925
Enterobacterales,Ampicillin-sulbactam iv1,10-10,14.0,14.0,91,80,4,7,0,87.91208791208791,4.395604395604396,7.6923076923076925
Enterobacterales,Ampicillin-sulbactam oral (uncomplicated,10-10,14.0,14.0,91,80,4,7,0,87.91208791208791,4.395604395604396,7.6923076923076925
Enterobacterales,Cefalexin (uncomplicated UTI only),30,14.0,14.0,91,80,4,7,0,87.91208791208791,4.395604395604396,7.6923076923076925
Pseudomonas spp.,"Meropenem-vaborbactam, P. aeruginosa",20-10,14.0,14.0,91,80,4,7,0,87.91208791208791,4.395604395604396,7.6923076923076925
Anaerobic bacteria,Amoxicillin-clavulanic acid,2-1,14.0,14.0,91,80,4,7,0,87.91208791208791,4.395604395604396,7.6923076923076925
Enterobacterales,Cefadroxil (uncomplicated UTI only),30,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Enterobacterales,Ceftazidime-avibactam,10-4,13.0,13.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Enterobacterales,"Nitrofurantoin (uncomplicated UTI only),",100,11.0,11.0,91,82,6,3,0,90.10989010989012,6.593406593406593,3.2967032967032965
Staphylococcus spp.,"Nitrofurantoin (uncomplicated UTI only), S. saprophyticus",100,13.0,13.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Enterococcus spp.,Norfloxacin (screen only),10,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Enterococcus spp.,"Vancomycin, E. faecalis and E. faecium",5,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
"Streptococcus groups A, B, C and G",Norfloxacin (screen only),10,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
"Streptococcus groups A, B, C and G",Vancomycin1,5,13.0,13.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Streptococcus pneumoniae,Lefamulin,5,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Viridans group streptococci,"Benzylpenicillin (endocarditis, in",1 unit,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Haemophilus influenzae,Benzylpenicillin (screen only)1,1 unit,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Anaerobic bacteria,Vancomycin,5,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Listeria monocytogenes,Benzylpenicillin (indications other than meningitis),1 unit,13.0,13.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Vibrio spp.,Erythromycin (screen only)1,15,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Bacillus anthracis,Rifampicin,5,12.0,12.0,91,82,4,5,0,90.10989010989012,4.395604395604396,5.4945054945054945
Staphylococcus spp.,"Moxifloxacin3, Coagulase-negative staphylococci",5,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Haemophilus influenzae,Cefepime,30,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Haemophilus influenzae,Moxifloxacin,5,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Moraxella catarrhalis,Ofloxacin,5,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Anaerobic bacteria,Meropenem,10,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Anaerobic bacteria,Ertapenem,10,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Anaerobic bacteria,Meropenem,10,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Kingella kingae,Ciprofloxacin,5,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Kingella kingae,Levofloxacin,5,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Kingella kingae,Tetracycline,30,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Kingella kingae,Trimethoprim-sulfamethoxazole1,1.25-23.75,28.0,28.0,91,83,3,5,0,91.20879120879121,3.2967032967032965,5.4945054945054945
Moraxella catarrhalis,Ertapenem1,10,29.0,29.0,91,84,2,5,0,92.3076923076923,2.197802197802198,5.4945054945054945
Moraxella catarrhalis,Imipenem1,10,29.0,29.0,91,84,2,5,0,92.3076923076923,2.197802197802198,5.4945054945054945
Moraxella catarrhalis,Levofloxacin,5,29.0,29.0,91,84,2,5,0,92.3076923076923,2.197802197802198,5.4945054945054945
Anaerobic bacteria,Imipenem,10,29.0,29.0,91,84,2,5,0,92.3076923076923,2.197802197802198,5.4945054945054945
Anaerobic bacteria,Ertapenem,10,29.0,29.0,91,84,2,5,0,92.3076923076923,2.197802197802198,5.4945054945054945
Listeria monocytogenes,Trimethoprim-sulfamethoxazole (all indications)1,1.25-23.75,29.0,29.0,91,84,2,5,0,92.3076923076923,2.197802197802198,5.4945054945054945
Kingella kingae,Cefuroxime iv,30,29.0,29.0,91,84,2,5,0,92.3076923076923,2.197802197802198,5.4945054945054945
Brucella melitensis,Trimethoprim-sulfamethoxazole2,1.25-23.75,29.0,29.0,91,84,2,5,0,92.3076923076923,2.197802197802198,5.4945054945054945
Burkholderia pseudomallei,Imipenem,10,29.0,29.0,91,84,2,5,0,92.3076923076923,2.197802197802198,5.4945054945054945
Staphylococcus spp.,"Rifampicin, Coagulase-negative staphylococci",5,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Haemophilus influenzae,Ceftriaxone,30,32.0,32.0,91,86,1,4,0,94.50549450549451,1.098901098901099,4.395604395604396
Haemophilus influenzae,Ciprofloxacin,5,32.0,32.0,91,86,1,4,0,94.50549450549451,1.098901098901099,4.395604395604396
Haemophilus influenzae,Levofloxacin,5,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Haemophilus influenzae,Ofloxacin,5,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Moraxella catarrhalis,Doripenem1,10,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Moraxella catarrhalis,Ciprofloxacin,5,31.0,31.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Anaerobic bacteria,Clindamycin,2,31.0,31.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Anaerobic bacteria,Piperacillin-tazobactam,30-6,32.0,32.0,91,86,1,4,0,94.50549450549451,1.098901098901099,4.395604395604396
Anaerobic bacteria,Clindamycin,2,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Anaerobic bacteria,Metronidazole,5,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Campylobacter jejuni and C. coli,Tetracycline,30,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Corynebacterium spp.,Rifampicin,5,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Aerococcus sanguinicola and A. urinae,Meropenem,10,31.0,31.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Kingella kingae,Ceftriaxone,30,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Kingella kingae,Meropenem,10,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Bacillus spp.,Imipenem,10,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Brucella melitensis,Ceftriaxone (meningitis),30,30.0,30.0,91,86,2,3,0,94.50549450549451,2.197802197802198,3.2967032967032965
Moraxella catarrhalis,Meropenem1,10,33.0,33.0,91,87,1,3,0,95.6043956043956,1.098901098901099,3.2967032967032965
Anaerobic bacteria,Ampicillin-sulbactam,10-10,33.0,33.0,91,87,1,3,0,95.6043956043956,1.098901098901099,3.2967032967032965
Anaerobic bacteria,Ampicillin-sulbactam,10-10,33.0,33.0,91,87,1,3,0,95.6043956043956,1.098901098901099,3.2967032967032965
Anaerobic bacteria,Ampicillin-sulbactam,10-10,33.0,33.0,91,87,1,3,0,95.6043956043956,1.098901098901099,3.2967032967032965
Anaerobic bacteria,Ceftriaxone,30,33.0,33.0,91,87,1,3,0,95.6043956043956,1.098901098901099,3.2967032967032965
Anaerobic bacteria,Meropenem,10,34.0,34.0,91,88,1,2,0,96.7032967032967,1.098901098901099,2.197802197802198
Anaerobic bacteria,Linezolid,10,34.0,34.0,91,88,1,2,0,96.7032967032967,1.098901098901099,2.197802197802198
Anaerobic bacteria,Imipenem,10,35.0,35.0,91,89,1,1,0,97.8021978021978,1.098901098901099,1.098901098901099
Anaerobic bacteria,Ertapenem,10,35.0,35.0,91,89,1,1,0,97.8021978021978,1.098901098901099,1.098901098901099
Anaerobic bacteria,Meropenem,10,35.0,35.0,91,89,1,1,0,97.8021978021978,1.098901098901099,1.098901098901099
Anaerobic bacteria,Imipenem,10,36.0,36.0,91,91,0,0,0,100.0,0.0,0.0
Anaerobic bacteria,Imipenem,10,39.0,39.0,91,91,0,0,0,100.0,0.0,0.0
Brucella melitensis,Tetracycline,30,42.0,42.0,91,91,0,0,0,100.0,0.0,0.0
